Episode;Total Reward;Epsilon;Elapsed time [s]
1;-318.237;0.995;0.49
2;-332.159;0.99;0.31
3;-105.864;0.985;0.39
4;-138.768;0.98;0.39
5;-181.993;0.975;0.28
6;-187.626;0.97;0.33
7;-173.079;0.966;0.41
8;-112.464;0.961;0.23
9;-139.397;0.956;0.33
10;-476.157;0.951;0.26
11;-169.47;0.946;0.24
12;-54.02;0.942;0.32
13;-93.272;0.937;0.28
14;-71.937;0.932;0.28
15;-220.178;0.928;0.35
16;-201.124;0.923;0.34
17;-234.554;0.918;0.56
18;-187.876;0.914;0.34
19;-96.124;0.909;0.33
20;-181.933;0.905;0.37
21;-118.806;0.9;0.38
22;-59.94;0.896;0.37
23;-288.871;0.891;0.34
24;-132.064;0.887;0.31
25;-190.337;0.882;0.38
26;-331.893;0.878;0.38
27;-118.906;0.873;0.26
28;-271.392;0.869;0.31
29;-358.88;0.865;0.32
30;-326.504;0.86;0.26
31;-343.736;0.856;0.29
32;-136.669;0.852;0.29
33;-76.907;0.848;0.35
34;-106.038;0.843;0.29
35;-105.161;0.839;0.48
36;-60.713;0.835;0.28
37;-344.847;0.831;0.43
38;-347.719;0.827;0.37
39;14.219;0.822;0.6
40;-167.86;0.818;0.54
41;-170.19;0.814;0.7
42;-35.543;0.81;0.67
43;-106.949;0.806;0.43
44;-77.175;0.802;0.36
45;-384.226;0.798;0.47
46;-81.75;0.794;0.35
47;-176.709;0.79;0.53
48;-103.596;0.786;0.54
49;-96.012;0.782;0.45
50;-96.448;0.778;0.33
51;-95.575;0.774;0.7
52;-83.915;0.771;0.48
53;-151.266;0.767;0.55
54;-230.985;0.763;0.64
55;-101.46;0.759;0.44
56;-102.05;0.755;0.42
57;-175.217;0.751;0.43
58;-72.602;0.748;0.52
59;-114.899;0.744;0.83
60;-149.309;0.74;0.52
61;-76.16;0.737;0.55
62;-119.917;0.733;0.4
63;-61.766;0.729;0.4
64;-310.532;0.726;0.55
65;-299.492;0.722;0.51
66;-382.096;0.718;0.73
67;-287.8;0.715;0.59
68;-76.669;0.711;0.43
69;-132.681;0.708;0.47
70;-288.436;0.704;0.69
71;-104.529;0.701;0.81
72;-122.299;0.697;0.6
73;-78.661;0.694;0.64
74;-214.036;0.69;0.7
75;-103.961;0.687;0.58
76;-113.308;0.683;0.78
77;-163.751;0.68;0.83
78;-97.705;0.676;0.44
79;-0.953;0.673;0.39
80;-63.569;0.67;0.65
81;-127.665;0.666;0.68
82;-25.759;0.663;0.56
83;-69.476;0.66;0.97
84;-1.471;0.656;1.08
85;-142.035;0.653;0.92
86;-31.326;0.65;1.29
87;-73.765;0.647;0.48
88;-23.881;0.643;1.06
89;-56.584;0.64;0.58
90;-170.092;0.637;0.44
91;-76.92;0.634;0.72
92;-25.86;0.631;0.43
93;-69.011;0.627;0.61
94;-86.765;0.624;0.58
95;-67.177;0.621;0.66
96;-160.215;0.618;1.19
97;-90.079;0.615;0.39
98;-81.797;0.612;0.62
99;-113.189;0.609;0.53
100;-81.291;0.606;0.69
101;-98.104;0.603;0.41
102;-250.292;0.6;0.97
103;-115.213;0.597;0.54
104;-77.373;0.594;0.98
105;-135.255;0.591;0.75
106;-91.827;0.588;0.49
107;-47.584;0.585;0.73
108;-85.335;0.582;0.62
109;-157.718;0.579;0.73
110;-82.094;0.576;0.54
111;-102.787;0.573;0.73
112;-80.624;0.57;0.7
113;-249.003;0.568;0.92
114;-136.898;0.565;0.88
115;-82.628;0.562;0.89
116;-196.265;0.559;0.76
117;-19.907;0.556;1.24
118;-14.666;0.554;1.1
119;-73.018;0.551;0.82
120;-106.321;0.548;1.83
121;-58.481;0.545;0.78
122;-92.107;0.543;1.82
123;-88.65;0.54;1.39
124;-46.174;0.537;0.74
125;-45.903;0.534;1.39
126;-82.769;0.532;0.96
127;-45.088;0.529;1.26
128;-17.582;0.526;0.86
129;-61.38;0.524;0.93
130;-249.758;0.521;1.23
131;-292.007;0.519;0.76
132;-2.835;0.516;0.97
133;9.985;0.513;1.04
134;-54.102;0.511;1.01
135;-104.37;0.508;0.86
136;-66.17;0.506;1.43
137;-69.274;0.503;1.8
138;-248.472;0.501;0.87
139;-219.63;0.498;0.92
140;-109.175;0.496;1.24
141;-265.617;0.493;1.74
142;-86.842;0.491;1.68
143;-35.032;0.488;1.02
144;-101.213;0.486;1.06
145;-14.862;0.483;2.12
146;-56.775;0.481;0.63
147;-79.461;0.479;0.83
148;1.822;0.476;2.17
149;-325.082;0.474;1.48
150;-112.206;0.471;0.68
151;-13.974;0.469;2.1
152;-58.624;0.467;2.76
153;-47.135;0.464;0.97
154;-26.846;0.462;1.35
155;-228.056;0.46;0.66
156;-1.643;0.458;1.93
157;-41.145;0.455;0.89
158;9.304;0.453;1.84
159;-38.027;0.451;0.57
160;-111.335;0.448;2.0
161;14.275;0.446;2.58
162;-54.491;0.444;1.06
163;-46.722;0.442;1.69
164;-58.547;0.44;0.65
165;-57.568;0.437;2.4
166;-300.772;0.435;2.77
167;-30.456;0.433;1.15
168;-3.894;0.431;1.48
169;-119.747;0.429;5.28
170;-9.747;0.427;2.15
171;-91.687;0.424;1.22
172;-23.007;0.422;1.01
173;-103.315;0.42;2.49
174;-301.603;0.418;2.38
175;-68.543;0.416;0.85
176;-241.998;0.414;6.28
177;-240.063;0.412;2.97
178;-30.829;0.41;1.61
179;-132.024;0.408;5.57
180;-99.222;0.406;1.7
181;-96.689;0.404;7.16
182;-34.41;0.402;0.7
183;-195.321;0.4;2.17
184;-338.139;0.398;2.45
185;-218.653;0.396;1.63
186;24.381;0.394;2.02
187;-116.954;0.392;6.1
188;-95.05;0.39;4.85
189;-180.908;0.388;1.32
190;21.165;0.386;0.82
191;-36.682;0.384;1.02
192;22.803;0.382;1.11
193;-325.797;0.38;4.51
194;-89.008;0.378;2.43
195;-80.922;0.376;9.5
196;-118.759;0.374;4.54
