Episode;Total Reward;Epsilon;Elapsed time [s]
1;-88.763;0.995;0.89
2;-132.317;0.99;0.19
3;-104.463;0.985;0.2
4;-273.24;0.98;0.28
5;-96.961;0.975;0.21
6;-107.106;0.97;0.13
7;-217.138;0.966;0.25
8;-102.73;0.961;0.13
9;-76.373;0.956;0.29
10;-298.647;0.951;0.25
11;-443.104;0.946;0.23
12;-95.032;0.942;0.23
13;-121.577;0.937;0.16
14;-323.476;0.932;0.2
15;-123.984;0.928;0.13
16;-440.46;0.923;0.2
17;-74.226;0.918;0.14
18;-146.032;0.914;0.26
19;-172.2;0.909;0.23
20;-397.943;0.905;0.28
21;-194.277;0.9;0.25
22;-146.714;0.896;0.21
23;-147.813;0.891;0.21
24;-212.701;0.887;0.24
25;-183.356;0.882;0.24
26;-303.727;0.878;0.31
27;-11.203;0.873;0.27
28;-204.735;0.869;0.23
29;-117.318;0.865;0.27
30;-341.094;0.86;0.23
31;-128.242;0.856;0.22
32;-195.233;0.852;0.3
33;-90.411;0.848;0.23
34;-126.5;0.843;0.23
35;-149.964;0.839;0.26
36;-71.741;0.835;0.35
37;-152.54;0.831;0.25
38;-38.149;0.827;0.24
39;-113.698;0.822;0.23
40;-164.796;0.818;0.2
41;-345.319;0.814;0.35
42;-102.8;0.81;0.28
43;-184.437;0.806;0.26
44;-51.93;0.802;0.3
45;-131.675;0.798;0.25
46;-170.78;0.794;0.27
47;-249.064;0.79;0.27
48;-44.587;0.786;0.19
49;-120.128;0.782;0.23
50;-120.614;0.778;0.19
51;-108.312;0.774;0.21
52;-167.826;0.771;0.43
53;-25.485;0.767;0.26
54;-308.879;0.763;0.27
55;-118.504;0.759;0.32
56;-51.436;0.755;0.51
57;-87.884;0.751;0.26
58;-169.469;0.748;0.36
59;-92.711;0.744;0.36
60;-154.814;0.74;0.2
61;-227.851;0.737;0.27
62;-92.776;0.733;0.21
63;39.268;0.729;3.71
64;-96.866;0.726;0.32
65;-118.349;0.722;0.32
66;-106.74;0.718;0.32
67;-21.225;0.715;0.45
68;-121.577;0.711;0.29
69;-28.59;0.708;0.29
70;-76.279;0.704;0.37
71;-318.054;0.701;0.54
72;-87.433;0.697;0.35
73;-123.366;0.694;0.45
74;-85.798;0.69;0.37
75;-88.475;0.687;0.25
76;-68.984;0.683;0.56
77;-244.804;0.68;0.38
78;-33.587;0.676;0.45
79;-149.201;0.673;0.43
80;-66.521;0.67;0.49
81;-130.093;0.666;0.58
82;-93.009;0.663;0.37
83;-107.497;0.66;0.42
84;-97.517;0.656;0.41
85;-199.962;0.653;0.34
86;-97.251;0.65;0.38
87;-44.528;0.647;0.4
88;-45.463;0.643;0.42
89;-22.607;0.64;0.38
90;9.973;0.637;0.3
91;-171.315;0.634;0.36
92;-156.169;0.631;0.34
93;-95.596;0.627;0.56
94;-54.914;0.624;0.27
95;-38.447;0.621;0.43
96;-94.192;0.618;0.26
97;-103.41;0.615;1.08
98;-93.848;0.612;0.38
99;-52.456;0.609;0.51
100;-71.239;0.606;0.45
101;-92.424;0.603;0.63
102;-102.565;0.6;0.43
103;-23.723;0.597;0.59
104;-25.705;0.594;0.41
105;-45.223;0.591;0.55
106;-82.329;0.588;0.38
107;-88.702;0.585;0.59
108;-216.611;0.582;0.55
109;-82.693;0.579;0.97
110;-116.764;0.576;0.49
111;-45.542;0.573;0.61
112;-165.927;0.57;0.52
113;-113.735;0.568;0.9
114;-312.722;0.565;0.57
115;-28.374;0.562;0.39
116;-85.001;0.559;0.61
117;-72.139;0.556;1.44
118;-199.677;0.554;0.55
119;-62.053;0.551;0.54
120;-22.255;0.548;0.63
121;-122.118;0.545;1.51
122;-98.549;0.543;0.43
123;-30.196;0.54;0.43
124;-79.91;0.537;0.78
125;30.864;0.534;0.56
126;-84.012;0.532;0.33
127;-14.066;0.529;0.51
128;-68.734;0.526;1.54
129;-77.214;0.524;0.72
130;-33.576;0.521;0.6
131;-63.21;0.519;0.57
132;1.305;0.516;0.49
133;-77.89;0.513;0.8
134;-136.186;0.511;0.62
135;-62.192;0.508;0.58
136;-153.161;0.506;0.49
137;-2.976;0.503;0.5
138;-8.21;0.501;0.43
139;-118.109;0.498;0.87
140;-76.461;0.496;1.17
141;-204.443;0.493;1.05
142;-13.819;0.491;0.89
143;-76.511;0.488;1.06
144;-52.182;0.486;0.8
145;-67.221;0.483;0.79
146;-90.372;0.481;0.75
147;-180.622;0.479;3.46
148;-90.991;0.476;1.37
149;38.335;0.474;1.1
150;-287.258;0.471;1.06
151;-71.412;0.469;0.48
152;-29.255;0.467;2.36
153;3.385;0.464;1.16
154;-85.878;0.462;0.86
155;-24.783;0.46;0.87
156;19.326;0.458;1.27
157;39.203;0.455;0.78
158;-22.355;0.453;0.7
159;-278.232;0.451;1.09
160;-12.316;0.448;0.96
161;-423.03;0.446;1.37
162;-60.509;0.444;0.43
163;-58.665;0.442;0.43
164;-79.926;0.44;0.79
165;-410.283;0.437;2.94
166;-105.289;0.435;0.93
167;-32.286;0.433;0.53
168;-40.02;0.431;1.6
169;-3.652;0.429;0.48
170;-41.457;0.427;0.96
171;-60.812;0.424;0.61
172;-68.629;0.422;3.08
173;-270.434;0.42;6.64
174;-194.86;0.418;3.06
175;-74.607;0.416;0.71
176;-129.764;0.414;2.01
177;26.573;0.412;0.59
178;-34.165;0.41;1.27
179;-37.25;0.408;1.45
180;-263.528;0.406;3.84
181;9.473;0.404;0.98
182;-99.968;0.402;1.14
183;-71.744;0.4;2.5
184;-75.077;0.398;1.8
185;-94.834;0.396;1.52
186;-92.577;0.394;0.6
187;-50.083;0.392;4.57
188;-48.754;0.39;0.43
189;-88.188;0.388;0.39
190;-205.761;0.386;3.02
191;-21.56;0.384;1.88
192;-102.408;0.382;0.38
193;-87.244;0.38;0.37
194;-50.117;0.378;0.82
195;-93.411;0.376;0.4
196;-46.021;0.374;0.5
197;-529.496;0.373;8.29
198;-90.165;0.371;1.38
199;-129.628;0.369;5.12
200;-24.184;0.367;3.38
201;-30.124;0.365;1.34
202;-111.933;0.363;2.03
203;-13.214;0.361;2.7
204;-283.137;0.36;4.56
205;26.752;0.358;0.66
206;-77.948;0.356;8.85
207;-109.6;0.354;3.55
208;-61.023;0.353;3.01
209;-317.462;0.351;7.39
210;-89.836;0.349;3.88
211;-122.07;0.347;3.88
212;-46.354;0.346;0.49
213;-195.962;0.344;3.58
214;-81.663;0.342;3.18
215;-98.999;0.34;0.73
216;-72.265;0.339;7.42
217;-93.342;0.337;1.62
218;-165.995;0.335;2.61
219;-64.377;0.334;5.89
220;-34.676;0.332;8.74
221;-65.673;0.33;9.87
222;-218.505;0.329;5.12
223;71.119;0.327;9.6
224;-172.718;0.325;5.75
225;-251.768;0.324;10.11
226;-72.785;0.322;10.33
227;-296.248;0.321;7.04
228;-79.695;0.319;0.88
229;-287.927;0.317;5.34
230;-39.494;0.316;0.71
231;-107.715;0.314;4.09
232;-136.1;0.313;10.62
233;-47.25;0.311;0.58
234;-186.628;0.309;8.29
235;-124.747;0.308;6.24
236;-24.882;0.306;11.25
237;-90.15;0.305;2.09
238;-382.6;0.303;7.38
239;-54.559;0.302;3.69
240;9.36;0.3;11.25
241;-78.016;0.299;11.68
242;-41.766;0.297;12.35
243;-78.006;0.296;2.9
244;19.479;0.294;12.46
245;-104.305;0.293;0.6
246;28.156;0.291;12.73
247;-80.024;0.29;0.95
248;-262.825;0.288;6.94
249;-34.051;0.287;12.3
250;-148.389;0.286;7.03
251;-76.768;0.284;12.43
252;-88.697;0.283;6.41
253;-96.972;0.281;1.14
254;-173.817;0.28;8.99
255;-330.077;0.279;10.68
256;-35.865;0.277;0.73
257;-158.927;0.276;10.97
258;-191.918;0.274;10.97
259;-85.918;0.273;1.13
260;-95.976;0.272;1.05
261;-102.618;0.27;4.86
262;-181.439;0.269;6.35
263;-16.469;0.268;0.94
264;-187.698;0.266;11.2
265;-50.214;0.265;1.54
266;-67.218;0.264;1.02
267;-241.523;0.262;13.35
268;88.767;0.261;14.19
269;20.779;0.26;14.33
270;-78.231;0.258;1.35
271;-18.298;0.257;14.94
272;-83.519;0.256;15.75
273;15.263;0.255;15.08
274;-63.13;0.253;1.16
275;-22.502;0.252;1.35
276;-25.825;0.251;15.25
277;100.691;0.249;15.39
278;-77.385;0.248;1.78
279;33.093;0.247;1.26
280;-112.244;0.246;16.18
281;-40.362;0.245;2.15
282;-167.466;0.243;10.46
283;-26.742;0.242;2.62
284;31.913;0.241;16.31
285;-130.391;0.24;16.67
286;-58.73;0.238;2.11
287;-28.384;0.237;16.6
288;-32.88;0.236;16.88
289;-117.124;0.235;2.06
290;-79.595;0.234;17.35
291;-269.177;0.233;11.98
292;125.583;0.231;17.2
293;-36.472;0.23;1.7
294;-17.652;0.229;1.29
295;41.328;0.228;17.6
296;-43.9;0.227;1.25
297;196.071;0.226;7.82
298;-385.052;0.225;9.85
299;-117.405;0.223;18.33
300;-134.176;0.222;9.99
301;-135.803;0.221;18.23
302;27.348;0.22;2.14
303;-97.731;0.219;18.63
304;-30.287;0.218;19.01
305;-95.488;0.217;3.72
306;-23.75;0.216;1.24
307;26.585;0.215;1.91
308;-22.082;0.214;2.27
309;-416.448;0.212;16.4
310;-116.066;0.211;19.34
311;-237.13;0.21;12.17
312;46.718;0.209;1.56
313;-169.038;0.208;15.65
314;128.063;0.207;19.81
315;-87.846;0.206;20.48
316;27.189;0.205;2.89
317;5.017;0.204;1.78
318;-24.983;0.203;1.41
319;259.411;0.202;14.08
320;1.779;0.201;2.6
321;-64.003;0.2;2.07
322;62.463;0.199;21.41
323;-293.862;0.198;17.71
324;-26.636;0.197;1.6
325;-122.739;0.196;3.99
326;-79.163;0.195;2.66
327;-10.991;0.194;2.17
328;-130.943;0.193;1.1
329;-103.558;0.192;5.58
330;86.721;0.191;20.96
331;52.713;0.19;21.01
332;-22.788;0.189;21.48
333;4.938;0.188;2.25
334;-50.049;0.187;2.2
335;110.126;0.187;21.1
336;-37.632;0.186;1.43
337;1.665;0.185;2.35
338;-19.283;0.184;21.44
339;-42.1;0.183;2.08
340;92.874;0.182;20.89
341;14.793;0.181;1.43
342;-52.024;0.18;1.79
343;214.046;0.179;9.07
344;-124.254;0.178;1.13
345;-33.106;0.177;21.29
346;129.639;0.177;21.01
347;-88.38;0.176;8.42
348;-41.622;0.175;2.92
349;-123.474;0.174;3.35
350;-147.484;0.173;2.06
351;-193.917;0.172;3.96
352;36.525;0.171;21.09
353;-91.902;0.17;3.96
354;-36.828;0.17;21.0
355;21.187;0.169;2.11
356;-30.106;0.168;21.31
357;-5.916;0.167;22.07
358;139.523;0.166;21.21
359;110.533;0.165;21.0
360;7.102;0.165;2.72
361;122.013;0.164;21.27
362;-42.315;0.163;1.48
363;-187.84;0.162;2.88
364;-87.849;0.161;9.11
365;-289.458;0.16;4.12
366;-268.27;0.16;2.87
367;-90.988;0.159;22.08
368;118.488;0.158;21.55
369;-71.458;0.157;21.72
370;-237.668;0.157;6.22
371;-108.955;0.156;1.91
372;-0.92;0.155;1.91
373;-32.572;0.154;21.69
374;-126.26;0.153;2.85
375;-0.642;0.153;1.93
376;260.064;0.152;3.69
377;85.251;0.151;21.21
378;30.809;0.15;21.15
379;184.388;0.15;20.04
380;-80.377;0.149;4.29
381;-45.415;0.148;21.85
382;-203.572;0.147;4.27
383;64.136;0.147;21.08
384;-50.301;0.146;21.95
385;-67.558;0.145;21.52
386;-58.232;0.144;2.35
387;0.872;0.144;2.76
388;109.347;0.143;21.29
389;-79.191;0.142;21.47
390;41.19;0.142;2.97
391;-111.749;0.141;21.83
392;-19.215;0.14;2.74
393;-69.563;0.139;3.64
394;216.955;0.139;9.23
395;-37.276;0.138;1.61
396;-168.514;0.137;1.03
397;225.137;0.137;9.28
398;146.326;0.136;18.31
399;133.55;0.135;21.2
400;-14.805;0.135;21.4
401;-38.932;0.134;21.46
402;-215.506;0.133;6.67
403;-128.846;0.133;1.18
404;-15.552;0.132;1.8
405;14.906;0.131;3.12
406;162.187;0.131;21.28
407;-38.494;0.13;21.62
408;-74.808;0.129;4.19
409;-90.345;0.129;1.45
410;-58.795;0.128;2.33
411;-102.973;0.127;21.51
412;-79.086;0.127;1.94
413;-100.927;0.126;21.99
414;-164.78;0.126;8.64
415;89.874;0.125;21.69
416;-46.153;0.124;21.29
417;-84.245;0.124;21.56
418;-75.768;0.123;22.2
419;11.257;0.122;2.83
420;233.684;0.122;9.77
421;172.82;0.121;20.32
422;-70.167;0.121;2.33
423;65.172;0.12;21.35
424;-49.823;0.119;4.93
425;131.706;0.119;21.43
426;-90.287;0.118;21.91
427;185.782;0.118;12.2
428;237.008;0.117;14.06
429;12.791;0.116;21.66
430;30.863;0.116;3.07
431;-86.149;0.115;22.25
432;-32.331;0.115;1.81
433;109.323;0.114;22.08
434;-96.217;0.114;21.95
435;129.269;0.113;21.14
436;14.642;0.112;21.81
437;-58.47;0.112;21.57
438;-40.355;0.111;21.87
439;-29.756;0.111;21.1
440;173.447;0.11;10.91
441;-106.404;0.11;2.02
442;123.393;0.109;21.71
443;246.231;0.109;14.96
444;-51.68;0.108;2.0
445;35.834;0.107;21.31
446;-149.325;0.107;8.28
447;-69.72;0.106;1.83
448;219.241;0.106;14.07
449;-50.603;0.105;21.25
450;-102.105;0.105;1.77
451;-216.287;0.104;5.91
452;-44.514;0.104;21.24
453;-80.747;0.103;21.22
454;172.958;0.103;20.81
455;114.633;0.102;21.01
456;139.175;0.102;20.12
457;-23.736;0.101;20.86
458;-181.27;0.101;2.02
459;267.91;0.1;9.69
460;170.943;0.1;9.65
461;-100.92;0.099;21.19
462;250.885;0.099;18.02
463;-63.448;0.098;20.52
464;-26.731;0.098;21.26
465;-69.191;0.097;21.17
466;-59.208;0.097;20.98
467;199.046;0.096;9.92
468;-4.174;0.096;21.51
469;-49.143;0.095;21.63
470;220.485;0.095;11.97
471;240.198;0.094;13.12
472;-73.327;0.094;2.01
473;137.212;0.093;11.07
474;-97.197;0.093;20.58
475;-62.903;0.092;2.46
476;244.877;0.092;15.01
477;-33.808;0.092;20.3
478;-128.225;0.091;1.32
479;-207.507;0.091;1.84
480;-37.652;0.09;20.87
481;-54.763;0.09;1.36
482;-104.189;0.089;20.89
483;83.447;0.089;20.59
484;16.831;0.088;3.64
485;-47.252;0.088;5.31
486;278.851;0.088;3.28
487;198.673;0.087;11.81
488;164.808;0.087;20.32
489;66.507;0.086;20.72
490;-93.594;0.086;20.88
491;173.28;0.085;8.73
492;276.762;0.085;5.17
493;193.526;0.084;13.21
494;-86.285;0.084;21.77
495;-71.014;0.084;21.26
496;-37.873;0.083;20.74
497;-84.384;0.083;2.6
498;283.739;0.082;7.27
499;-177.507;0.082;1.98
500;-80.733;0.082;1.99
501;260.566;0.081;10.51
502;-3.496;0.081;20.92
503;-58.089;0.08;4.57
504;-151.301;0.08;1.93
505;-63.963;0.08;1.75
506;140.174;0.079;20.51
507;83.478;0.079;20.28
508;270.549;0.078;16.53
509;180.81;0.078;9.96
510;33.089;0.078;20.82
511;185.341;0.077;18.19
512;162.492;0.077;19.93
513;-56.846;0.076;10.59
514;240.634;0.076;7.13
515;198.12;0.076;14.02
516;22.039;0.075;20.88
517;91.922;0.075;14.29
518;-166.912;0.075;5.31
519;132.762;0.074;20.51
520;276.8;0.074;14.23
521;260.269;0.073;12.61
522;180.158;0.073;16.07
523;-66.501;0.073;4.18
524;-51.563;0.072;3.82
525;137.889;0.072;20.29
526;111.581;0.072;14.61
527;-90.99;0.071;1.34
528;150.067;0.071;14.41
529;255.564;0.071;5.21
530;294.062;0.07;11.15
531;253.522;0.07;13.76
532;-37.192;0.069;20.86
533;93.571;0.069;20.5
534;-90.568;0.069;4.44
535;-87.094;0.068;20.46
536;-47.985;0.068;3.86
537;-30.866;0.068;3.76
538;211.264;0.067;6.84
539;41.208;0.067;20.53
540;232.027;0.067;15.77
541;230.749;0.066;5.46
542;7.831;0.066;3.84
543;-265.271;0.066;6.58
544;280.297;0.065;6.37
545;246.635;0.065;11.22
546;-57.137;0.065;20.48
547;216.544;0.064;14.06
548;-47.514;0.064;20.14
549;-32.88;0.064;20.57
550;228.61;0.063;5.48
551;-8.779;0.063;6.55
552;188.889;0.063;20.08
553;249.376;0.063;7.8
554;255.656;0.062;5.88
555;251.856;0.062;5.69
556;285.169;0.062;6.17
557;228.023;0.061;17.43
558;-200.121;0.061;6.41
559;79.909;0.061;20.17
560;-15.877;0.06;20.4
561;268.139;0.06;6.66
562;-27.805;0.06;2.21
563;194.956;0.059;15.07
564;4.111;0.059;20.54
565;222.424;0.059;4.98
566;248.332;0.059;3.94
567;42.304;0.058;2.74
